date,time
2023-04-15,7.46
2023-04-16,4.3
2023-04-17,4.9
2023-04-18,5.52
2023-04-19,4.0
2023-04-20,5.99
2023-04-21,5.5
2023-04-22,4.38
2023-04-23,4.78
2023-04-24,5.29
2023-04-25,4.86
2023-04-26,4.83
2023-04-27,4.69
2023-04-28,5.14
2023-04-29,4.67
2023-04-30,5.7
2023-05-01,7.64
2023-05-02,5.15
2023-05-03,8.87
2023-05-04,6.51
2023-05-05,7.05
2023-05-06,6.97
2023-05-07,3.21
2023-05-08,4.2
2023-05-09,5.13
2023-05-10,6.52
2023-05-11,5.36
2023-05-12,7.02
2023-05-13,6.57
2023-05-14,6.52
2023-05-15,6.31
2023-05-16,6.14
2023-05-17,5.74
2023-05-18,6.22
2023-05-19,7.94
2023-05-20,6.36
2023-05-21,6.52
2023-05-22,6.14
2023-05-23,6.93
2023-05-24,6.93
2023-05-25,6.7
2023-05-26,6.08
2023-05-27,4.08
2023-05-28,7.04
2023-05-29,5.48
2023-05-30,6.64
2023-05-31,5.48
2023-06-01,6.46
2023-06-02,6.17
2023-06-03,5.95
2023-06-04,5.48
2023-06-05,4.74
2023-06-06,5.41
2023-06-07,6.37
2023-06-08,6.29
2023-06-09,6.56
2023-06-10,4.81
2023-06-11,3.88
2023-06-12,3.95
2023-06-13,4.56
2023-06-14,4.53
2023-06-15,4.62
2023-06-16,5.13
2023-06-17,4.17
2023-06-18,4.74
2023-06-19,5.3
2023-06-20,5.62
2023-06-21,6.85
2023-06-22,9.19
2023-06-23,6.99
2023-06-24,6.07
2023-06-25,5.15
2023-06-26,6.1
2023-06-27,5.85
2023-06-28,4.93
2023-06-29,5.18
2023-06-30,4.5
2023-07-01,4.78
2023-07-02,3.76
2023-07-03,4.95
2023-07-04,5.36
2023-07-05,4.58
2023-07-06,4.25
2023-07-07,5.59
2023-07-08,4.18
2023-07-09,4.12
2023-07-10,6.09
2023-07-11,5.21
2023-07-12,4.97
2023-07-13,4.67
2023-07-14,4.48
2023-07-15,4.06
2023-07-16,5.12
2023-07-17,5.84
2023-07-18,4.98
2023-07-19,6.92
2023-07-20,5.49
2023-07-21,5.58
2023-07-22,4.4
2023-07-23,5.4
2023-07-24,5.8
2023-07-25,5.2
2023-07-26,5.21
2023-07-27,4.13
2023-07-28,4.16
2023-07-29,5.02
2023-07-30,3.32
2023-07-31,3.35
2023-08-01,4.62
2023-08-02,4.87
2023-08-03,4.97
2023-08-04,4.53
2023-08-05,6.35
2023-08-06,4.96
2023-08-07,5.82
2023-08-08,5.18
2023-08-09,5.17
2023-08-10,5.2
2023-08-11,7.5
2023-08-12,5.51
2023-08-13,4.91
2023-08-14,7.03
2023-08-15,5.83
2023-08-16,5.67
2023-08-17,5.93
2023-08-18,6.09
2023-08-19,5.39
2023-08-20,5.55
2023-08-21,5.91
2023-08-22,7.1
2023-08-23,4.65
2023-08-24,6.21
2023-08-25,5.24
2023-08-26,5.43
2023-08-27,4.93
2023-08-28,5.47
2023-08-29,8.97
2023-08-30,4.71
2023-08-31,4.63
2023-09-01,3.75
2023-09-02,4.27
2023-09-03,3.88
2023-09-04,4.55
2023-09-05,5.31
2023-09-06,6.68
2023-09-07,4.45
2023-09-08,6.76
2023-09-09,5.49
2023-09-10,3.83
2023-09-11,4.8
2023-09-12,4.32
2023-09-13,5.18
2023-09-14,5.13
2023-09-15,4.78
2023-09-16,5.63
2023-09-17,6.81
2023-09-18,6.47
2023-09-19,6.43
2023-09-20,8.71
2023-09-21,9.83
2023-09-22,5.6
2023-09-23,6.52
2023-09-24,6.2
2023-09-25,6.18
2023-09-26,7.05
2023-09-27,4.64
2023-09-28,4.6
2023-09-29,5.55
2023-09-30,4.63
2023-10-01,4.88
2023-10-02,5.9
2023-10-03,5.13
2023-10-04,6.28
2023-10-05,6.9
2023-10-06,7.13
2023-10-07,5.06
2023-10-08,4.8
2023-10-09,6.35
2023-10-10,6.11
2023-10-11,5.56
2023-10-12,5.58
2023-10-13,5.65
2023-10-14,5.06
2023-10-15,5.1
2023-10-16,5.04
2023-10-17,5.36
2023-10-18,5.62
2023-10-19,6.57
